# "Hello" in many languages
# English = Hello
# 424 Word Pairs
# Version 0.0.4
#
# DAMS - The Dictionary Additions Management System
# http://sourceforge.net/projects/dams/
#
# This work is licensed under the Creative Commons Attribution-Share Alike 3.0 Unported License. 
# To view a copy of this license, visit http://creativecommons.org/licenses/by-sa/3.0/ 
# or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California, 94105, USA.
#
# Delimiter: <TAB>
#
!kung san	!kao
afrikaans	hallo
afrikaans	haai
albanian	c'kemi
albanian	tugjatjeta
albanian	mirëdita
albanian	tungjatjeta
aleut	aang
alsatian	hallo
ancient greek	χαίρε
ancient greek	χαίρε και υγίαινε
arabic	و عليكم السلام
arabic	مرحبا
arabic	أهلاً
arabic	مرحبًا
arabic	آلو
arabic	السلام عليكم
armenian	բարև
armenian	բարև ձեզ
armenian	ալլո
armenian	parev
armenian	ողջույն
asturian	halo
basque	kaixo
batak	horas
bavarian	grüß gott
bengali	নমস্কার
bengali	nomoskar
bosnian	zdravo
bosnian	ćao
bosnian	merhaba
bosnian	selam
breton	nozvezh vat
bulgarian	ало
bulgarian	здравейте
bulgarian	здравей
bulgarian	zdrávej
bulgarian	zdrávejte
cantonese	你好
cantonese	喂
chinese	你好
chinese	您好
chinese	喂
chinese	爾好
chinese	ni hao
croatian	čao
croatian	bok
croatian	zdravo
croatian	ćao
croatian	bog
czech	ahoj
czech	nazdar
czech	dobrý den
dalecarian	høj
danish	hallo
danish	hej
danish	hejsa
danish	dav
double dutch	hutch-e-lul-lul-o
dutch	hallo
dutch	hoi
egyptian arabic	ألسّلام عليكم
egyptian arabic	وعليكم السّلام
egyptian arabic	أهلاً وسهلاً
egyptian arabic	أهلاً بيك
egyptian arabic	أهلاً
esperanto	saluton
esperanto	sal
estonian	hei
estonian	tere
faroese	hallo
faroese	hey
faroese	halló
fijian	bula uro
fijian	bula
filipino	hoy
filipino	kumustá
finnish	hyvää päivää
finnish	hei
finnish	moi
finnish	moro
finnish	terve
finnish	moikka
french	salut
french	bonjour
gaelic	halò
galician	ola
georgian	გამარჯობა
georgian	gamardžoba
german	hallo
gilbertese	mauri
greek	γειά σας
greek	γειά σου
greek	γειά
greek	χαίρετε
hakka	爾好
hausa	sannu
hawaiian	aloha
hebrew	שלום
hebrew	shalom
hello	talofa
hello	tugjatjeta
hello	terve
hello	汝好
hello	байна
hello	γειά σας
hello	malo
hello	bok
hello	moikka
hello	喂
hello	сайн байна уу
hello	γειά σου
hello	selamat
hello	hej
hello	ola
hello	爾好
hello	сайн уу
hello	नमस्ते
hello	szervusz
hello	bongu
hello	hejsa
hello	gamardžoba
hello	здравейте
hello	halla
hello	selamat siang
hello	selamat datong
hello	hutch-e-lul-lul-o
hello	γειά
hello	آلو
hello	alii
hello	salute
hello	aqui
hello	hoi
hello	χαίρετε
hello	السلام عليكم
hello	سلام
hello	今日は
hello	kwe
hello	saluton
hello	χαίρε
hello	و عليكم السلام
hello	سلام علیکم
hello	おっす
hello	ສະບາຍດີ
hello	sal
hello	χαίρε και υγίαινε
hello	مرحبا
hello	नमस्कार
hello	안녕하세요
hello	tungjatjeta
hello	bula uro
hello	mauri
hello	ألسّلام عليكم
hello	namaskāram
hello	안녕
hello	aang
hello	hyvää päivää
hello	sannu
hello	وعليكم السّلام
hello	salutamu
hello	!kao
hello	مرحبًا
hello	hei
hello	nyob zoo
hello	أهلاً وسهلاً
hello	ћао
hello	здраво
hello	ողջույն
hello	moi
hello	szervusztok
hello	أهلاً بيك
hello	привет
hello	здорово
hello	y´'át'ééh
hello	kaixo
hello	moro
hello	sziasztok
hello	أهلاً
hello	ਸਤਿ ਸ਼੍ਰੀ ਅਕਾਲ
hello	cześć
hello	নমস্কার
hello	bonjour
hello	szia
hello	բարև
hello	kamusta
hello	olá
hello	nomoskar
hello	namaste
hello	hai
hello	բարև ձեզ
hello	kumusta
hello	živjo
hello	ćao
hello	góðan dag
hello	bon die
hello	ալլո
hello	สวัสดีค่ะ
hello	hola
hello	merhaba
hello	hæ
hello	ciao
hello	もしもし
hello	สวัสดีครับ
hello	hallå
hello	selam
hello	halo
hello	buongiorno
hello	zdravo
hello	sälü
hello	வணக்கம்
hello	здравей
hello	ciào
hello	bouônjour
hello	horas
hello	экии
hello	สวัสดี
hello	zdrávej
hello	salve
hello	сәлем
hello	mushi mushi
hello	ekii
hello	iyi günler
hello	zdrávejte
hello	salvete
hello	салам
hello	kanichi wa
hello	привіт
hello	chào anh
hello	bog
hello	ave
hello	сәлеметсіздер
hello	shalom
hello	добрий день
hello	chào chị
hello	ahoj
hello	avete
hello	안녕하십니까
hello	ellohay
hello	nozvezh vat
hello	آداب
hello	glidis
hello	nazdar
hello	grüzi
hello	labas
hello	hallo
hello	mirëdita
hello	السلام علیکم
hello	bondjoû
hello	dobrý den
hello	xin chào
hello	sveikas
hello	你好
hello	parev
hello	אַ גוטן טאָג
hello	dav
hello	shwmae
hello	sveiki
hello	您好
hello	bunã ziua
hello	שלום
hello	tere
hello	ەيلو
hello	tēriņtš
hello	儂好
hello	hujambo
hello	c'kemi
hello	hey
hello	لسلام علیکم
hello	čao
hello	здраствуй
hello	ᐊᐃ
hello	halló
hello	ฮัลโหล
hello	bonġu
hello	høj
hello	grüß gott
hello	ᐊᐃᓐᖓᐃ
hello	bula
hello	здравствуйте
hello	bonswa
hello	salut
hello	aloha
hello	haai
hello	hoy
hello	алло
hello	sekoh
hello	halò
hello	moïen
hello	sawubona
hello	kumustá
hello	ало
hello	сайн
hello	გამარჯობა
hindi	नमस्ते
hindi	namaste
hmong	nyob zoo
hungarian	szervusz
hungarian	szervusztok
hungarian	sziasztok
hungarian	szia
icelandic	góðan dag
icelandic	hæ
icelandic	halló
indonesian	hai
indonesian	selamat siang
indonesian	halo
interlingua	bon die
interlingua	salute
inuktitut	ᐊᐃ
inuktitut	ᐊᐃᓐᖓᐃ
italian	ciào
italian	salve
italian	ciao
italian	buongiorno
japanese	今日は
japanese	おっす
japanese	もしもし
japanese	mushi mushi
japanese	kanichi wa
japanese	こんにちは
javanese	selamat
jèrriais	bouônjour
kazakh	сәлем
kazakh	салам
kazakh	сәлеметсіздер
korean	안녕하세요
korean	안녕
korean	안녕하십니까
lao	ສະບາຍດີ
latin	salve
latin	salvete
latin	ave
latin	avete
limburgish	hallo
lithuanian	labas
lithuanian	sveikas
lithuanian	sveiki
livonian	tēriņtš
luxembourgish	moïen
macedonian	здраво
macedonian	ало
malay	selamat datong
maltese	bongu
maltese	bonġu
maltese	bonswa
mandarin	你好
mandarin	您好
mandarin	喂
mandarin	ni hao
mohawk	kwe
mohawk	sekoh
mohican	aqui
mongolian	сайн байна уу
mongolian	сайн уу
navajo	y´'át'ééh
norwegian	hallo
norwegian	hei
norwegian	halla
palauan	alii
persian	سلام
persian	سلام علیکم
pig latin	ellohay
polish	cześć
portuguese	olá
punjabi	ਸਤਿ ਸ਼੍ਰੀ ਅਕਾਲ
romanian	bunã ziua
russian	здравствуйте
russian	алло
russian	здраствуй
russian	привет
russian	здорово
samoan	talofa
samoan	malo
sanskrit	नमस्कार
sanskrit	namaskāram
serbian	здраво
serbian	zdravo
serbian	ćao
serbian	ћао
shanghainese	儂好
sicilian	ciao
sicilian	salutamu
slovenian	živjo
slovenian	halo
slovenian	zdravo
spanish	hola
swahili	hujambo
swahili	jambo
swedish	hallå
swedish	hej
swiss german	hallo
swiss german	hoi
swiss german	grüzi
swiss german	sälü
tagalog	kamusta
tagalog	kumusta
taiwanese	你好
tamil	வணக்கம்
teochow chinese	汝好
thai	สวัสดี
thai	ฮัลโหล
thai	สวัสดีค่ะ
thai	สวัสดีครับ
turkish	merhaba
tuvan	экии
tuvan	ekii
ukranian	привіт
ukranian	добрий день
urdu	ەيلو
urdu	آداب
urdu	السلام علیکم
vietnamese	chào chị
vietnamese	xin chào
vietnamese	chào
volapük	glidis
walloon	bondjoû
welsh	shwmae
west frisian	hallo
west frisian	hoi
wu	你好
yiddish	אַ גוטן טאָג
zulu	sawubona
